,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,DATEYR,LATDD,LONDD
188,AR0257,4.8,0.0,0,30,1.0,0.0,1991.0,-42.04972,-71.19972
189,AR0258,4.5195,0.0,0,30,1.0,0.0,1991.0,-32.34972,-63.59972
190,AR0260,1.9800000000000002,0.0,0,30,1.0,0.0,1991.0,-44.72972,-70.47
191,AR0261,0.6480000000000001,0.0,0,30,1.0,0.0,1991.0,-31.61,-63.79972
192,AU0042,9.655499999999998,0.0,0,30,1.0,0.0,1966.0,-26.68333,152.95
193,AU0052,5.736,0.0,0,30,1.0,0.0,1966.0,-36.9,140.93333
194,AU0054,4.6979999999999995,0.0,0,30,1.0,0.0,1966.0,-26.71667,150.6
195,AU0056,12.614999999999998,0.0,0,30,1.0,0.0,1966.0,-27.55,151.51667
196,AZ0001,12.51211,0.0,0,30,1.0,0.0,1974.0,40.58333,48.4
197,AZ0002,9.107199999999999,0.0,0,30,1.0,0.0,1974.0,40.58333,48.05
198,AZ0003,14.267120000000002,0.0,0,30,1.0,0.0,1974.0,41.65,46.66667
199,AZ0005,4.192200000000001,0.0,0,30,1.0,0.0,1986.0,41.53333,46.16667
200,BG0004,9.861699999999999,0.0,0,30,1.0,0.0,1972.0,43.65,27.17
201,BG0005,8.5802,0.0,0,30,1.0,0.0,1974.0,43.41972,24.45
202,BG0006,7.1964999999999995,0.0,0,30,1.0,0.0,1974.0,42.31972,25.68
203,BG0008,11.590800000000002,0.0,0,30,1.0,0.0,1976.0,43.15,25.95
204,BG0009,3.2254000000000005,0.0,0,30,1.0,0.0,1976.0,42.2,25.29972
205,BG0010,3.9132,0.0,0,30,1.0,0.0,1976.0,42.47,24.89972
206,BG0011,6.134399999999999,0.0,0,30,1.0,0.0,1976.0,43.41972,24.62972
207,BG0012,6.528600000000001,0.0,0,30,1.0,0.0,1976.0,43.41972,24.62972
208,BG0013,5.1432,0.0,0,30,1.0,0.0,1976.0,42.91972,25.07972
209,BG0014,3.6214999999999997,0.0,0,30,1.0,0.0,1977.0,42.15,25.04972
210,BG0015,8.4897,0.0,0,30,1.0,0.0,1980.0,42.08,24.6
211,BG0016,3.1608,0.0,0,30,1.0,0.0,1980.0,42.22972,27.27
212,BG0021,4.5513,0.0,0,30,1.0,0.0,1986.0,42.65,26.97972
213,BG0022,6.27198,0.0,0,30,1.0,0.0,1989.0,43.75,23.28333
214,BG0023,9.64118,0.0,0,30,1.0,0.0,1989.0,43.33333,24.33333
215,BG0024,6.78,0.0,0,30,1.0,0.0,1989.0,43.66667,23.16667
216,BG0026,5.8181,0.0,0,30,1.0,0.0,1989.0,42.25,27.75
217,BG0030,7.581510000000001,0.0,0,30,1.0,0.0,1989.0,42.66667,26.91667
218,BG0031,12.70688,0.0,0,30,1.0,0.0,1989.0,42.83333,23.0
219,BG0032,2.2766,0.0,0,30,1.0,0.0,1993.0,42.06972,27.78
220,BG0033,3.8411999999999997,0.0,0,30,1.0,0.0,1993.0,43.72,23.14972
221,BG0034,5.699400000000001,0.0,0,30,1.0,0.0,1994.0,42.18972,24.39833
222,BG0035,13.468620000000001,0.0,0,30,1.0,0.0,1994.0,43.72528,27.43778
223,BG0036,9.54,0.0,0,30,1.0,0.0,1994.0,43.6075,27.70917
224,BG0037,10.7748,0.0,0,30,1.0,0.0,1994.0,43.44194,28.14556
225,BG0038,10.064700000000002,0.0,0,30,1.0,0.0,1994.0,43.31861,27.33944
226,BG0039,16.53426,0.0,0,30,1.0,0.0,1994.0,43.39194,24.73139
227,BG0040,32.16037,0.0,0,30,1.0,0.0,1994.0,42.58972,23.29333
