,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9608,S1989KS081014_89P0731,2.4888000000000003,0.0,0.0,30.0,1.0,0.0,1989,37.42694,-101.03555
9609,S1989KS081005_89P0732,3.2078999999999995,0.0,0.0,30.0,1.0,0.0,1989,37.42861,-101.03555
9610,S1989KS081007_89P0734,3.9438,0.0,0.0,30.0,1.0,0.0,1989,37.47306,-101.00611
9611,89KS081016_89P0737,3.3902100000000006,0.0,0.0,30.0,1.0,0.0,1989,37.42694,-101.0375
9612,S1989KS081017_89P0738,4.301550000000001,0.0,0.0,30.0,1.0,0.0,1989,37.44056,-101.03333
9613,S1989KS081006_89P0741,3.22058,0.0,0.0,30.0,1.0,0.0,1989,37.42861,-101.03278
9614,S1989KS081004_89P0742,2.26917,0.0,0.0,30.0,1.0,0.0,1989,37.45722,-101.03278
9615,S1989LA115023_89P0778,3.3790999999999998,0.0,0.0,30.0,1.0,0.0,1989,31.15195,-93.15361
9616,S1989LA115024_89P0779,2.45304,0.0,0.0,30.0,1.0,0.0,1989,31.15055,-93.15305
9617,S1989LA115024A_89P0780,3.8570400000000005,0.0,0.0,30.0,1.0,0.0,1989,31.15055,-93.15305
9618,S1989LA115025_89P0781,4.98024,0.0,0.0,30.0,1.0,0.0,1989,31.08361,-93.27556
9619,S1989LA115025A_89P0782,3.512,0.0,0.0,30.0,1.0,0.0,1989,31.08361,-93.27556
9620,S1989LA115027_89P0784,2.44842,0.0,0.0,30.0,1.0,0.0,1989,31.09833,-93.51028
9621,S1989LA115028_89P0785,5.378,0.0,0.0,30.0,1.0,0.0,1989,31.085,-93.52834
9622,S1989LA115029_89P0786,1.8348,0.0,0.0,30.0,1.0,0.0,1989,30.94972,-93.14389
9623,S1989LA115030_89P0787,2.9524700000000004,0.0,0.0,30.0,1.0,0.0,1989,30.94944,-93.14445
9624,S1989TX429001_90P0145,5.2491,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9625,S1989TX429002_90P0146,6.04972,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9626,S1989TX429003_90P0147,5.285259999999999,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9627,S1989TX429004_90P0148,5.9467,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9628,S1989TX429005_90P0149,4.11816,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9629,S1989TX429006_90P0150,6.3666,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9630,S1989TX429007_90P0151,5.995439999999999,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9631,S1989TX429008_90P0152,5.31403,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9632,S1989TX429009_90P0153,4.2613199999999996,0.0,0.0,30.0,1.0,0.0,1989,32.65722,-98.61
9633,S1989AZ015001_90P0210,0.7050000000000001,0.0,0.0,30.0,1.0,0.0,1989,36.99889,-113.47361
9634,S1989AZ015003_90P0212,2.5539,0.0,0.0,30.0,1.0,0.0,1989,36.95167,-113.34722
9635,S1989AZ015004_90P0213,0.93525,0.0,0.0,30.0,1.0,0.0,1989,36.99111,-113.33972
